Accession_number 	ID 	Description
P05791	ILVD_ECOLI	RecName: Full=Dihydroxy-acid dehydratase; Short=DAD; EC=4.2.1.9;
P05793	ILVC_ECOLI	RecName: Full=Ketol-acid reductoisomerase; EC=1.1.1.86; AltName: Full=Acetohydroxy-acid isomeroreductase; AltName: Full=Alpha-keto-beta-hydroxylacil reductoisomerase;
P05825	FEPA_ECOLI	RecName: Full=Ferrienterobactin receptor; AltName: Full=Enterobactin outer-membrane receptor; Flags: Precursor;
P06715	GSHR_ECOLI	RecName: Full=Glutathione reductase; Short=GR; Short=GRase; EC=1.8.1.7;
P06959	ODP2_ECOLI	RecName: Full=Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex; EC=2.3.1.12; AltName: Full=Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex; AltName: Full=E2;
P06960	OTC2_ECOLI	RecName: Full=Ornithine carbamoyltransferase chain F; EC=2.1.3.3; AltName: Full=OTCase-2;
P06968	DUT_ECOLI	RecName: Full=Deoxyuridine 5'-triphosphate nucleotidohydrolase; Short=dUTPase; EC=3.6.1.23; AltName: Full=dUTP pyrophosphatase;
P06987	HIS7_ECOLI	RecName: Full=Histidine biosynthesis bifunctional protein hisB; Includes: RecName: Full=Histidinol-phosphatase; EC=3.1.3.15; Includes: RecName: Full=Imidazoleglycerol-phosphate dehydratase; Short=IGPD; EC=4.2.1.19;
P06988	HISX_ECOLI	RecName: Full=Histidinol dehydrogenase; Short=HDH; EC=1.1.1.23;
P06999	K6PF2_ECOLI	RecName: Full=6-phosphofructokinase isozyme 2; Short=Phosphofructokinase-2; EC=2.7.1.11;
P07003	POXB_ECOLI	RecName: Full=Pyruvate dehydrogenase [ubiquinone]; EC=1.2.5.1; AltName: Full=Pyruvate oxidase; Short=POX; Contains: RecName: Full=Alpha-peptide;
P07004	PROA_ECOLI	RecName: Full=Gamma-glutamyl phosphate reductase; Short=GPR; EC=1.2.1.41; AltName: Full=Glutamate-5-semialdehyde dehydrogenase; AltName: Full=Glutamyl-gamma-semialdehyde dehydrogenase; Short=GSA dehydrogenase;
P07102	PPA_ECOLI	RecName: Full=Periplasmic AppA protein; Includes: RecName: Full=Phosphoanhydride phosphohydrolase; EC=3.1.3.2; AltName: Full=pH 2.5 acid phosphatase; Short=AP; Includes: RecName: Full=4-phytase; EC=3.1.3.26; Flags: Precursor;
P07395	SYFB_ECOLI	RecName: Full=Phenylalanyl-tRNA synthetase beta chain; EC=6.1.1.20; AltName: Full=Phenylalanine--tRNA ligase beta chain; Short=PheRS;
P07813	SYL_ECOLI	RecName: Full=Leucyl-tRNA synthetase; EC=6.1.1.4; AltName: Full=Leucine--tRNA ligase; Short=LeuRS;
P08142	ILVB_ECOLI	RecName: Full=Acetolactate synthase isozyme 1 large subunit; Short=AHAS-I; EC=2.2.1.6; AltName: Full=Acetohydroxy-acid synthase I large subunit; Short=ALS-I;
P08200	IDH_ECOLI	RecName: Full=Isocitrate dehydrogenase [NADP]; Short=IDH; EC=1.1.1.42; AltName: Full=IDP; AltName: Full=NADP(+)-specific ICDH; AltName: Full=Oxalosuccinate decarboxylase;
P08244	PYRF_ECOLI	RecName: Full=Orotidine 5'-phosphate decarboxylase; EC=4.1.1.23; AltName: Full=OMP decarboxylase; Short=OMPDCase; Short=OMPdecase;
P08312	SYFA_ECOLI	RecName: Full=Phenylalanyl-tRNA synthetase alpha chain; EC=6.1.1.20; AltName: Full=Phenylalanine--tRNA ligase alpha chain; Short=PheRS;
P08839	PT1_ECOLI	RecName: Full=Phosphoenolpyruvate-protein phosphotransferase; EC=2.7.3.9; AltName: Full=Phosphotransferase system, enzyme I;
P09029	PURK_ECOLI	RecName: Full=N5-carboxyaminoimidazole ribonucleotide synthase; Short=N5-CAIR synthase; EC=6.3.4.18; AltName: Full=5-(carboxyamino)imidazole ribonucleotide synthetase;
P09030	EX3_ECOLI	RecName: Full=Exodeoxyribonuclease III; Short=EXO III; Short=Exonuclease III; EC=3.1.11.2; AltName: Full=AP endonuclease VI;
P09147	GALE_ECOLI	RecName: Full=UDP-glucose 4-epimerase; EC=5.1.3.2; AltName: Full=Galactowaldenase; AltName: Full=UDP-galactose 4-epimerase;
P09158	SPEE_ECOLI	RecName: Full=Spermidine synthase; EC=2.5.1.16; AltName: Full=Putrescine aminopropyltransferase; Short=PAPT; AltName: Full=SPDSY;
P09169	OMPT_ECOLI	RecName: Full=Protease 7; EC=3.4.23.49; AltName: Full=Omptin; AltName: Full=Outer membrane protein 3B; AltName: Full=Protease A; AltName: Full=Protease VII; Flags: Precursor;
P09372	GRPE_ECOLI	RecName: Full=Protein grpE; AltName: Full=HSP-70 cofactor; AltName: Full=HSP24; AltName: Full=Heat shock protein B25.3;
P09373	PFLB_ECOLI	RecName: Full=Formate acetyltransferase 1; EC=2.3.1.54; AltName: Full=Pyruvate formate-lyase 1;
P09551	ARGT_ECOLI	RecName: Full=Lysine-arginine-ornithine-binding periplasmic protein; Short=LAO-binding protein; Flags: Precursor;
P09832	GLTD_ECOLI	RecName: Full=Glutamate synthase [NADPH] small chain; EC=1.4.1.13; AltName: Full=Glutamate synthase subunit beta; Short=GLTS beta chain; AltName: Full=NADPH-GOGAT;
P0A6A3	ACKA_ECOLI	RecName: Full=Acetate kinase; EC=2.7.2.1; AltName: Full=Acetokinase;
P0A6A6	LEUC_ECOLI	RecName: Full=3-isopropylmalate dehydratase large subunit; EC=4.2.1.33; AltName: Full=Alpha-IPM isomerase; Short=IPMI; AltName: Full=Isopropylmalate isomerase;
P0A6D3	AROA_ECOLI	RecName: Full=3-phosphoshikimate 1-carboxyvinyltransferase; EC=2.5.1.19; AltName: Full=5-enolpyruvylshikimate-3-phosphate synthase; Short=EPSP synthase; Short=EPSPS;
P0A6D7	AROK_ECOLI	RecName: Full=Shikimate kinase 1; Short=SK 1; EC=2.7.1.71; AltName: Full=Shikimate kinase I; Short=SKI;
P0A6E4	ASSY_ECOLI	RecName: Full=Argininosuccinate synthase; EC=6.3.4.5; AltName: Full=Citrulline--aspartate ligase;
P0A6E6	ATPE_ECOLI	RecName: Full=ATP synthase epsilon chain; AltName: Full=ATP synthase F1 sector epsilon subunit; AltName: Full=F-ATPase epsilon subunit;
P0A6F1	CARA_ECOLI	RecName: Full=Carbamoyl-phosphate synthase small chain; EC=6.3.5.5; AltName: Full=Carbamoyl-phosphate synthetase glutamine chain;
P0A6F3	GLPK_ECOLI	RecName: Full=Glycerol kinase; EC=2.7.1.30; AltName: Full=ATP:glycerol 3-phosphotransferase; AltName: Full=Glycerokinase; Short=GK;
P0A6F5	CH60_ECOLI	RecName: Full=60 kDa chaperonin; AltName: Full=GroEL protein; AltName: Full=Protein Cpn60;
P0A6F9	CH10_ECOLI	RecName: Full=10 kDa chaperonin; AltName: Full=GroES protein; AltName: Full=Protein Cpn10;
P0A6G7	CLPP_ECOLI	RecName: Full=ATP-dependent Clp protease proteolytic subunit; EC=3.4.21.92; AltName: Full=Caseinolytic protease; AltName: Full=Endopeptidase Clp; AltName: Full=Heat shock protein F21.5; AltName: Full=Protease Ti; Flags: Precursor;
P0A6H5	HSLU_ECOLI	RecName: Full=ATP-dependent protease ATPase subunit HslU; AltName: Full=Heat shock protein HslU; AltName: Full=Unfoldase HslU;
P0A6L0	DEOC_ECOLI	RecName: Full=Deoxyribose-phosphate aldolase; Short=DERA; EC=4.1.2.4; AltName: Full=2-deoxy-D-ribose 5-phosphate aldolase; AltName: Full=Phosphodeoxyriboaldolase; Short=Deoxyriboaldolase;
P0A6L2	DAPA_ECOLI	RecName: Full=Dihydrodipicolinate synthase; Short=DHDPS; EC=4.2.1.52;
P0A6M8	EFG_ECOLI	RecName: Full=Elongation factor G; Short=EF-G;
P0A6P1	EFTS_ECOLI	RecName: Full=Elongation factor Ts; Short=EF-Ts;
P0A6P9	ENO_ECOLI	RecName: Full=Enolase; EC=4.2.1.11; AltName: Full=2-phospho-D-glycerate hydro-lyase; AltName: Full=2-phosphoglycerate dehydratase;
P0A6W5	GREA_ECOLI	RecName: Full=Transcription elongation factor greA; AltName: Full=Transcript cleavage factor greA;
P0A6Y8	DNAK_ECOLI	RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70;
P0A6Z3	HTPG_ECOLI	RecName: Full=Chaperone protein htpG; AltName: Full=Heat shock protein C62.5; AltName: Full=Heat shock protein htpG; AltName: Full=High temperature protein G;
P0A715	KDSA_ECOLI	RecName: Full=2-dehydro-3-deoxyphosphooctonate aldolase; EC=2.5.1.55; AltName: Full=3-deoxy-D-manno-octulosonic acid 8-phosphate synthase; AltName: Full=KDO-8-phosphate synthase; Short=KDO 8-P synthase; Short=KDOPS; AltName: Full=Phospho-2-dehydro-3-deoxyoctonate aldolase;
P0A763	NDK_ECOLI	RecName: Full=Nucleoside diphosphate kinase; Short=NDK; Short=NDP kinase; EC=2.7.4.6; AltName: Full=Nucleoside-2-P kinase;
P0A786	PYRB_ECOLI	RecName: Full=Aspartate carbamoyltransferase catalytic chain; EC=2.1.3.2; AltName: Full=Aspartate transcarbamylase; Short=ATCase;
P0A796	K6PF1_ECOLI	RecName: Full=6-phosphofructokinase isozyme 1; EC=2.7.1.11; AltName: Full=6-phosphofructokinase isozyme I; AltName: Full=Phosphofructokinase 1; AltName: Full=Phosphohexokinase 1;
P0A799	PGK_ECOLI	RecName: Full=Phosphoglycerate kinase; EC=2.7.2.3;
P0A7A9	IPYR_ECOLI	RecName: Full=Inorganic pyrophosphatase; EC=3.6.1.1; AltName: Full=Pyrophosphate phospho-hydrolase; Short=PPase;
P0A7B8	HSLV_ECOLI	RecName: Full=ATP-dependent protease subunit HslV; EC=3.4.25.2; AltName: Full=Heat shock protein HslV;
P0A7D4	PURA_ECOLI	RecName: Full=Adenylosuccinate synthetase; Short=AMPSase; Short=AdSS; EC=6.3.4.4; AltName: Full=IMP--aspartate ligase;
P0A7D7	PUR7_ECOLI	RecName: Full=Phosphoribosylaminoimidazole-succinocarboxamide synthase; EC=6.3.2.6; AltName: Full=SAICAR synthetase;
P0A7E1	PYRD_ECOLI	RecName: Full=Dihydroorotate dehydrogenase (quinone); EC=1.3.5.2; AltName: Full=DHOdehase; Short=DHOD; Short=DHODase; AltName: Full=Dihydroorotate oxidase;
P0A7E5	PYRG_ECOLI	RecName: Full=CTP synthase; EC=6.3.4.2; AltName: Full=CTP synthetase; AltName: Full=UTP--ammonia ligase;
P0A7F3	PYRI_ECOLI	RecName: Full=Aspartate carbamoyltransferase regulatory chain;
P0A7G2	RBFA_ECOLI	RecName: Full=Ribosome-binding factor A; AltName: Full=Protein P15B;
P0A7G6	RECA_ECOLI	RecName: Full=Protein RecA; AltName: Full=Recombinase A;
P0A7K2	RL7_ECOLI	RecName: Full=50S ribosomal protein L7/L12; AltName: Full=L8;
P0A7L0	RL1_ECOLI	RecName: Full=50S ribosomal protein L1;
P0A7N1	RL31B_ECOLI	RecName: Full=50S ribosomal protein L31 type B;
P0A7R1	RL9_ECOLI	RecName: Full=50S ribosomal protein L9;
P0A7V0	RS2_ECOLI	RecName: Full=30S ribosomal protein S2;
P0A7X6	RIMM_ECOLI	RecName: Full=Ribosome maturation factor rimM; AltName: Full=21K;
P0A7Z0	RPIA_ECOLI	RecName: Full=Ribose-5-phosphate isomerase A; EC=5.3.1.6; AltName: Full=Phosphoriboisomerase A; Short=PRI;
P0A7Z4	RPOA_ECOLI	RecName: Full=DNA-directed RNA polymerase subunit alpha; Short=RNAP subunit alpha; EC=2.7.7.6; AltName: Full=RNA polymerase subunit alpha; AltName: Full=Transcriptase subunit alpha;
P0A805	RRF_ECOLI	RecName: Full=Ribosome-recycling factor; Short=RRF; AltName: Full=Ribosome-releasing factor;
P0A817	METK_ECOLI	RecName: Full=S-adenosylmethionine synthase; Short=AdoMet synthase; EC=2.5.1.6; AltName: Full=MAT; AltName: Full=Methionine adenosyltransferase;
P0A825	GLYA_ECOLI	RecName: Full=Serine hydroxymethyltransferase; Short=SHMT; Short=Serine methylase; EC=2.1.2.1;
P0A836	SUCC_ECOLI	RecName: Full=Succinyl-CoA ligase [ADP-forming] subunit beta; EC=6.2.1.5; AltName: Full=Succinyl-CoA synthetase subunit beta; Short=SCS-beta;
P0A850	TIG_ECOLI	RecName: Full=Trigger factor; Short=TF;
P0A853	TNAA_ECOLI	RecName: Full=Tryptophanase; EC=4.1.99.1; AltName: Full=L-tryptophan indole-lyase; Short=TNase;
P0A855	TOLB_ECOLI	RecName: Full=Protein tolB; Flags: Precursor;
P0A858	TPIS_ECOLI	RecName: Full=Triosephosphate isomerase; Short=TIM; EC=5.3.1.1; AltName: Full=Triose-phosphate isomerase;
P0A862	TPX_ECOLI	RecName: Full=Thiol peroxidase; EC=1.11.1.-; AltName: Full=Scavengase P20;
P0A870	TALB_ECOLI	RecName: Full=Transaldolase B; EC=2.2.1.2;
P0A877	TRPA_ECOLI	RecName: Full=Tryptophan synthase alpha chain; EC=4.2.1.20;
P0A879	TRPB_ECOLI	RecName: Full=Tryptophan synthase beta chain; EC=4.2.1.20;
P0A8F0	UPP_ECOLI	RecName: Full=Uracil phosphoribosyltransferase; EC=2.4.2.9; AltName: Full=UMP pyrophosphorylase; AltName: Full=UPRTase;
P0A8G6	WRBA_ECOLI	RecName: Full=Flavoprotein wrbA; AltName: Full=Trp repressor-binding protein;
P0A8L1	SYS_ECOLI	RecName: Full=Seryl-tRNA synthetase; EC=6.1.1.11; AltName: Full=Serine--tRNA ligase; Short=SerRS; AltName: Full=Seryl-tRNA(Ser/Sec) synthetase;
P0A8M0	SYN_ECOLI	RecName: Full=Asparaginyl-tRNA synthetase; EC=6.1.1.22; AltName: Full=Asparagine--tRNA ligase; Short=AsnRS;
P0A8N3	SYK1_ECOLI	RecName: Full=Lysyl-tRNA synthetase; EC=6.1.1.6; AltName: Full=Lysine--tRNA ligase; Short=LysRS;
P0A8P3	FETP_ECOLI	RecName: Full=Probable Fe(2+)-trafficking protein;
P0A8Q6	CLPS_ECOLI	RecName: Full=ATP-dependent Clp protease adapter protein ClpS;
P0A8V2	RPOB_ECOLI	RecName: Full=DNA-directed RNA polymerase subunit beta; Short=RNAP subunit beta; EC=2.7.7.6; AltName: Full=RNA polymerase subunit beta; AltName: Full=Transcriptase subunit beta;
P0A8X2	YCEI_ECOLI	RecName: Full=Protein yceI; Flags: Precursor;
P0A903	NLPB_ECOLI	RecName: Full=Lipoprotein 34; Flags: Precursor;
P0A910	OMPA_ECOLI	RecName: Full=Outer membrane protein A; AltName: Full=Outer membrane protein II*; Flags: Precursor;
P0A917	OMPX_ECOLI	RecName: Full=Outer membrane protein X; Flags: Precursor;
P0A940	YAET_ECOLI	RecName: Full=Outer membrane protein assembly factor yaeT; AltName: Full=Omp85; Flags: Precursor;
P0A955	ALKH_ECOLI	RecName: Full=KHG/KDPG aldolase; Includes: RecName: Full=4-hydroxy-2-oxoglutarate aldolase; EC=4.1.3.16; AltName: Full=2-keto-4-hydroxyglutarate aldolase; Short=KHG-aldolase; Includes: RecName: Full=2-dehydro-3-deoxy-phosphogluconate aldolase; EC=4.1.2.14; AltName: Full=2-keto-3-deoxy-6-phosphogluconate aldolase; Short=KDPG-aldolase; AltName: Full=Phospho-2-dehydro-3-deoxygluconate aldolase; AltName: Full=Phospho-2-keto-3-deoxygluconate aldolase;
P0A993	F16PA_ECOLI	RecName: Full=Fructose-1,6-bisphosphatase class 1; Short=FBPase class 1; EC=3.1.3.11; AltName: Full=D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1;
P0A9A6	FTSZ_ECOLI	RecName: Full=Cell division protein ftsZ;
P0A9A9	FUR_ECOLI	RecName: Full=Ferric uptake regulation protein; Short=Ferric uptake regulator;
P0A9B2	G3P1_ECOLI	RecName: Full=Glyceraldehyde-3-phosphate dehydrogenase A; Short=GAPDH-A; EC=1.2.1.12;
P0A9C3	GALM_ECOLI	RecName: Full=Aldose 1-epimerase; EC=5.1.3.3; AltName: Full=Galactose mutarotase; AltName: Full=Type-1 mutarotase;
P0A9C5	GLNA_ECOLI	RecName: Full=Glutamine synthetase; EC=6.3.1.2; AltName: Full=Glutamate--ammonia ligase;
P0A9D2	GST_ECOLI	RecName: Full=Glutathione S-transferase; EC=2.5.1.18;
P0A9D8	DAPD_ECOLI	RecName: Full=2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase; EC=2.3.1.117; AltName: Full=Tetrahydrodipicolinate N-succinyltransferase; Short=THDP succinyltransferase; Short=THP succinyltransferase; Short=Tetrahydropicolinate succinylase;
P0A9G6	ACEA_ECOLI	RecName: Full=Isocitrate lyase; Short=ICL; Short=Isocitrase; Short=Isocitratase; EC=4.1.3.1;
P0A9H9	CHEZ_ECOLI	RecName: Full=Protein phosphatase CheZ; EC=3.1.3.-; AltName: Full=Chemotaxis protein CheZ;
P0A9L3	FKBB_ECOLI	RecName: Full=FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase; Short=FKBP22; Short=PPIase; EC=5.2.1.8; AltName: Full=Rotamase;
P0A9M2	HPRT_ECOLI	RecName: Full=Hypoxanthine phosphoribosyltransferase; Short=HPRT; EC=2.4.2.8;
P0A9M5	XGPT_ECOLI	RecName: Full=Xanthine phosphoribosyltransferase; EC=2.4.2.22; AltName: Full=Xanthine-guanine phosphoribosyltransferase; Short=XGPRT;
P0A9M8	PTA_ECOLI	RecName: Full=Phosphate acetyltransferase; EC=2.3.1.8; AltName: Full=Phosphotransacetylase;
P0A9P0	DLDH_ECOLI	RecName: Full=Dihydrolipoyl dehydrogenase; EC=1.8.1.4; AltName: Full=Dihydrolipoamide dehydrogenase; AltName: Full=E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; AltName: Full=Glycine cleavage system L protein;
P0A9P4	TRXB_ECOLI	RecName: Full=Thioredoxin reductase; Short=TRXR; EC=1.8.1.9;
P0A9P6	DEAD_ECOLI	RecName: Full=Cold-shock DEAD box protein A; EC=3.6.4.13; AltName: Full=ATP-dependent RNA helicase deaD; AltName: Full=Translation factor W2;
P0A9Q1	ARCA_ECOLI	RecName: Full=Aerobic respiration control protein ArcA; AltName: Full=Dye resistance protein;
P0A9Q9	DHAS_ECOLI	RecName: Full=Aspartate-semialdehyde dehydrogenase; Short=ASA dehydrogenase; Short=ASADH; EC=1.2.1.11; AltName: Full=Aspartate-beta-semialdehyde dehydrogenase;
P0A9Y6	CSPC_ECOLI	RecName: Full=Cold shock-like protein CspC; Short=CSP-C;
P0AA04	PTHP_ECOLI	RecName: Full=Phosphocarrier protein HPr; EC=2.7.11.-; AltName: Full=Histidine-containing protein;
P0AA25	THIO_ECOLI	RecName: Full=Thioredoxin-1; Short=Trx-1;
P0AA43	RSUA_ECOLI	RecName: Full=Ribosomal small subunit pseudouridine synthase A; EC=5.4.99.19; AltName: Full=16S pseudouridylate 516 synthase; AltName: Full=16S rRNA pseudouridine(516) synthase; AltName: Full=rRNA pseudouridylate synthase A; AltName: Full=rRNA-uridine isomerase A;
P0AAC0	USPE_ECOLI	RecName: Full=Universal stress protein E;
P0AAI9	FABD_ECOLI	RecName: Full=Malonyl CoA-acyl carrier protein transacylase; Short=MCT; EC=2.3.1.39;
P0AAN3	HYPB_ECOLI	RecName: Full=Hydrogenase isoenzymes nickel incorporation protein hypB;
P0AB26	YCEB_ECOLI	RecName: Full=Uncharacterized lipoprotein yceB; Flags: Precursor;
P0AB55	YCII_ECOLI	RecName: Full=Protein yciI;
P0AB71	ALF_ECOLI	RecName: Full=Fructose-bisphosphate aldolase class 2; Short=FBP aldolase; Short=FBPA; EC=4.1.2.13; AltName: Full=Fructose-1,6-bisphosphate aldolase; AltName: Full=Fructose-bisphosphate aldolase class II;
P0AB80	ILVE_ECOLI	RecName: Full=Branched-chain-amino-acid aminotransferase; Short=BCAT; EC=2.6.1.42; AltName: Full=Transaminase B;
P0AB91	AROG_ECOLI	RecName: Full=Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive; EC=2.5.1.54; AltName: Full=3-deoxy-D-arabino-heptulosonate 7-phosphate synthase; AltName: Full=DAHP synthase; AltName: Full=Phospho-2-keto-3-deoxyheptonate aldolase;
P0ABA0	ATPF_ECOLI	RecName: Full=ATP synthase subunit b; AltName: Full=ATP synthase F(0) sector subunit b; AltName: Full=ATPase subunit I; AltName: Full=F-type ATPase subunit b; Short=F-ATPase subunit b;
P0ABB0	ATPA_ECOLI	RecName: Full=ATP synthase subunit alpha; EC=3.6.3.14; AltName: Full=ATP synthase F1 sector subunit alpha; AltName: Full=F-ATPase subunit alpha;
P0ABB4	ATPB_ECOLI	RecName: Full=ATP synthase subunit beta; EC=3.6.3.14; AltName: Full=ATP synthase F1 sector subunit beta; AltName: Full=F-ATPase subunit beta;
P0ABD8	BCCP_ECOLI	RecName: Full=Biotin carboxyl carrier protein of acetyl-CoA carboxylase; Short=BCCP;
P0ABF6	CDD_ECOLI	RecName: Full=Cytidine deaminase; EC=3.5.4.5; AltName: Full=Cytidine aminohydrolase; Short=CDA;
P0ABK5	CYSK_ECOLI	RecName: Full=Cysteine synthase A; Short=CSase A; EC=2.5.1.47; AltName: Full=O-acetylserine (thiol)-lyase A; Short=OAS-TL A; AltName: Full=O-acetylserine sulfhydrylase A; AltName: Full=Sulfate starvation-induced protein 5; Short=SSI5;
P0ABP8	DEOD_ECOLI	RecName: Full=Purine nucleoside phosphorylase deoD-type; Short=PNP; EC=2.4.2.1; AltName: Full=Inosine phosphorylase;
P0ABQ4	DYR_ECOLI	RecName: Full=Dihydrofolate reductase; EC=1.5.1.3;
P0ABS1	DKSA_ECOLI	RecName: Full=DnaK suppressor protein;
P0ABT2	DPS_ECOLI	RecName: Full=DNA protection during starvation protein; EC=1.16.-.-;
P0ABU2	ENGD_ECOLI	RecName: Full=GTP-dependent nucleic acid-binding protein engD;
P0ABU5	ELBB_ECOLI	RecName: Full=Enhancing lycopene biosynthesis protein 2; AltName: Full=Sigma cross-reacting protein 27A; Short=SCRP-27A;
P0ABZ6	SURA_ECOLI	RecName: Full=Chaperone surA; AltName: Full=Peptidyl-prolyl cis-trans isomerase surA; Short=PPIase surA; EC=5.2.1.8; AltName: Full=Rotamase surA; AltName: Full=Survival protein A; Flags: Precursor;
P0AC41	DHSA_ECOLI	RecName: Full=Succinate dehydrogenase flavoprotein subunit; EC=1.3.99.1;
P0AC53	G6PD_ECOLI	RecName: Full=Glucose-6-phosphate 1-dehydrogenase; Short=G6PD; EC=1.1.1.49; Contains: RecName: Full=Extracellular death factor; Short=EDF;
P0AC55	GLNK_ECOLI	RecName: Full=Nitrogen regulatory protein P-II 2;
P0AC69	GLRX4_ECOLI	RecName: Full=Glutaredoxin-4; Short=Grx4; AltName: Full=Monothiol glutaredoxin;
P0ACA3	SSPA_ECOLI	RecName: Full=Stringent starvation protein A;
P0ACB0	DNAB_ECOLI	RecName: Full=Replicative DNA helicase; EC=3.6.4.12;
P0ACB2	HEM2_ECOLI	RecName: Full=Delta-aminolevulinic acid dehydratase; Short=ALAD; Short=ALADH; EC=4.2.1.24; AltName: Full=Porphobilinogen synthase;
P0ACF8	HNS_ECOLI	RecName: Full=DNA-binding protein H-NS; AltName: Full=Histone-like protein HLP-II; AltName: Full=Protein B1; AltName: Full=Protein H1;
P0ACL0	GLPR_ECOLI	RecName: Full=Glycerol-3-phosphate regulon repressor;
